customer_id,tenure,monthly_charges,support_calls,churn
1,1,78,1,1
1,1,93,1,1
1,1,62,1,0
1,1,95,1,1
1,1,94,1,1
1,1,61,0,0
1,1,49,1,0
1,1,47,0,0
1,1,92,1,1
1,1,67,0,0
1,1,50,0,0
1,1,92,1,1
1,1,92,1,1
1,1,90,1,1
1,1,92,1,1
1,1,86,1,1
1,1,101,1,1
1,1,76,1,1
1,1,49,1,0
1,1,68,1,0
1,1,49,0,0
1,1,46,1,0
1,1,94,1,1
1,1,100,1,1
1,1,54,0,0
1,1,118,1,1
1,1,96,1,1
1,1,79,1,1
1,1,98,1,1
1,1,86,1,1
1,1,89,1,1
1,1,58,0,0
1,1,59,0,0
1,1,97,1,1
1,1,79,1,1
1,1,79,1,1
1,1,98,1,1
1,1,92,1,1
1,1,91,1,1
1,1,107,1,1
1,1,89,1,1
1,1,51,0,0
1,1,106,1,1
1,1,81,1,1
1,1,78,1,1
1,1,45,1,0
1,1,40,1,0
1,1,58,0,0
1,1,88,1,1
1,1,89,1,1
1,1,31,1,0
1,1,61,0,0
1,1,86,1,1
1,1,88,1,1
1,1,90,1,1
1,1,55,1,0
1,1,67,1,0
1,1,73,1,1
1,1,62,0,0
1,1,69,1,0
